	word	sense_id	definition	sent_lemmatized	adagram_sense	sent	word_idx	bert_sense
0	клетка	1	Помещение для птиц и животных со стенками из железных или деревянных прутьев. Часть сооружения, помещения, пространства, ограниченного, огражденного решеткой, прутьями и т. п.  Подъемное устройство в шахте; клеть.	помещение для птица и животное с стенка из железный или деревянный прут . часть сооружение , помещение , пространство , ограниченный , оградить решётка , прут и так . п . подъёмный устройство в шахта ; клеть .	2	Клетка - это помещение для птиц и животных со стенками из железных или деревянных прутьев. часть сооружения, помещения, пространства, ограниченного, огражденного решеткой, прутьями и т. п.  подъемное устройство в шахте; клеть.	0	0
1	клетка	2	 разг. Маленькая комната, тесное помещение.	разг . маленький комната , тесный помещение .	2	Клетка - это  разг. маленькая комната, тесное помещение.	0	0
2	клетка	3	Способ укладки каких-л. материалов (бревен, дров, досок, кирпича и т. п.) в виде четырехугольника параллельными пересекающимися рядами.	способ укладка какой - л . материал ( бревно , дрова , доска , кирпич и так . п .) в вид четырёхугольник параллельный пересекаться ряд .	2	Клетка - это способ укладки каких-л. материалов (бревен, дров, досок, кирпича и т. п.) в виде четырехугольника параллельными пересекающимися рядами.	0	0
3	клетка	4	Четырехугольник, изображенный на поверхности чего-л. Участок поля четырехугольной формы.	четырёхугольник , изобразить на поверхность что - л . участок поле четырехугольный форма .	2	Клетка - это четырехугольник, изображенный на поверхности чего-л. участок поля четырехугольной формы.	0	0
4	клетка	5	Элементарная живая система, основа строения и жизнедеятельности всех животных и растительных организмов, состоящая из протоплазмы, ядра и оболочки.	элементарный живой система , основа строение и жизнедеятельность весь животное и растительный организм , состоять из протоплазма , ядро и оболочка .	4	Клетка - это элементарная живая система, основа строения и жизнедеятельности всех животных и растительных организмов, состоящая из протоплазмы, ядра и оболочки.	0	0
5	фигура	1	Часть плоскости, ограниченная замкнутой ломаной или кривой линией, а также совокупность определенно расположенных точек, линий, поверхностей и тел (в геометрии).	часть плоскость , ограниченный замкнутый ломаный или кривая линия , а также совокупность определённо расположить точка , линия , поверхность и тело ( в геометрия ).	2	Фигура - это часть плоскости, ограниченная замкнутой ломаной или кривой линией, а также совокупность определенно расположенных точек, линий, поверхностей и тел (в геометрии).	0	1
6	фигура	2	Форма, очертания чего-л.	форма , очертание что - л .	2	Фигура - это форма, очертания чего-л.	0	1
7	фигура	3	Внешнее очертание, формы человека; телосложение.	внешний очертание , форма человек ; телосложение .	2	Фигура - это внешнее очертание, формы человека; телосложение.	0	1
8	фигура	4	Скульптурное или живописное изображение человека или животного.	скульптурный или живописный изображение человек или животное .	2	Фигура - это скульптурное или живописное изображение человека или животного.	0	1
9	фигура	5	Положение, позиция, принимаемые кем-л. или чем-л. при исполнении чего-л. в движении.	положение , позиция , принимать кто - л . или чем - л . при исполнение что - л . в движение .	2	Фигура - это положение, позиция, принимаемые кем-л. или чем-л. при исполнении чего-л. в движении.	0	1
