	word	sent	sent_lemmatized	word_idx	adagram_sense	bert_sense
0	клетка	Разработчики , занятые в этой отрасли , отказались от традиционного программирования , запертого в клетку контрольно - командного стиля , и стали использовать для написания кода симулирование процесса развития одноклеточных организмов в многоклеточные .	разработчик , занять в этот отрасль , отказаться от традиционный программирование , запереть в клетка контрольный - командный стиль , и стать использовать для написание код симулирование процесс развитие одноклеточный организм в многоклеточный .	14	4	0
1	клетка	Кстати , клетка в целом и одноклеточные организмы в частности - далеко не исчерпанный источник идей , которые могут найти приложение в мире человеческих изобретений .	кстати , клетка в целое и одноклеточный организм в частность - далеко не исчерпать источник идея , который мочь найти приложение в мир человеческий изобретение .	2	2	0
2	клетка	Одно из наиболее известных приспособлений , позаимствованных у клетки - устройство мембраны .	один из наиболее известный приспособление , заимствовать у клетка - устройство мембрана .	8	2	1
3	клетка	А с развитием нанотехнологий ученые получают возможность рассмотреть ранее недоступные механизмы : например , хвостик бактерии приводится во вращательное действие при помощи протонного мини-ротора - и это у простейшего одноклеточного , стоит ли говорить о таких сложных клетках , как нейроны , например .	а с развитие нанотехнология ученый получать возможность рассмотреть ранее недоступный механизм : например , хвостик бактерия приводить в вращательный действие при помощь протонный мини-ротор - и это у простой одноклеточный , стоить ли говорить о такой сложный клетка , как нейрон , например .	37	2	0
4	клетка	"Термин "" нанотехнологии "" был популяризован еще в 1986 году Эриком Дрекслером ( Eric Drexler ) , американским ученым , и уже тогда он предсказывал появление в течение одного - двух десятилетий нанороботов , которые смогут истреблять раковые клетки в человеческом организме ."	"термин "" нанотехнология "" быть популяризировать еще в 1986 год Эрик Дрекслер ( Eric Drexler ) , американский ученый , и уже тогда он предсказывать появление в течение один - два десятилетие наноробот , который мочь истреблять раковый клетка в человеческий организм ."	38	2	1
5	клетка	И самое неприятное - этот пояс должен быть очень жестким и прочным , иначе мышцы , опускающие крыло , раздавят грудную клетку вместе с легкими и сердцем .	и самый неприятный - этот пояс должен быть очень жесткий и прочный , иначе мышца , опускать крыло , раздавить грудной клетка вместе с легкое и сердце .	21	2	0
6	клетка	Не требует специального решения задача защиты грудной клетки и обеспечения дыхания в полете .	не требовать специальный решение задача защита грудной клетка и обеспечение дыхание в полет .	7	2	1
7	клетка	Возможно , что формирование альтернативного зрения достигается за счет прямой активации клеток мозга факторами внешней среды .	возможный , что формирование альтернативный зрение достигать за счет прямой активация клетка мозг фактор внешний среда .	11	4	0
8	клетка	При развитии организма кожа формируется из одной клетки с нервной системой .	при развитие организм кожа формировать из один клетка с нервный система .	7	4	1
9	клетка	""" Можно , по-видимому , допустить , - продолжает Наталья Бехтерева , - что в условиях сверхзадачи - формирования альтернативного зрения - результат достигается действительно за счет прямого видения , прямой активации клеток мозга факторами внешней среды ."	""" можно , по-видимому , допустить , - продолжать Наталья Бехтерева , - что в условие сверхзадача - формирование альтернативный зрение - результат достигать действительно за счет прямой видение , прямой активация клетка мозг фактор внешний среда ."	32	4	0
10	клетка	Достигла ли она стадии появления клетки ?	достичь ли она стадия появление клетка ?	5	2	1
11	клетка	При массивном кровотечении организм теряет огромное количество эритроцитов - клеток , содержащих в себе переносчик молекул кислорода , глобулярный белок гемоглобин .	при массивный кровотечение организм терять огромный количество эритроцит - клетка , содержать в себя переносчик молекула кислород , глобулярный белок гемоглобин .	9	2	0
12	клетка	Если сгустков образуется немного , то они быстро растворятся под действием ферментов , вырабатываемых клетками сосудистой стенки .	если сгусток образовываться немного , то они быстро раствориться под действие фермент , вырабатывать клетка сосудистый стенка .	14	4	0
13	клетка	Кроме того , предохраняет нервные клетки от разрушения ( апоптоза ) , что наблюдается как при болезнях , так и при старении .	кроме то , предохранять нервный клетка от разрушение ( апоптоз ) , что наблюдаться как при болезнь , так и при старение .	5	2	1
14	клетка	Слизь эпителиальных клеток позволяла органической основе диффузно спаиваться с золотом , которое делало нить необычайно крепкой .	слизь эпителиальный клетка позволять органический основа диффузно спаиваться с золото , который делать нить необычайно крепкий .	2	4	0
15	клетка	Уже скоро в России появятся новые медицинские учреждения - банки стволовых клеток , материала , необходимого для лечения многих опасных болезней .	уже скоро в Россия появиться новый медицинский учреждение - банк стволовый клетка , материал , необходимый для лечение много опасный болезнь .	11	2	0
16	клетка	"Авторитетный журнал Science , подводя итоги развития биологической науки в XX веке , на третье место после открытия двойной спирали ДНК и расшифровки генома человека поставил открытие в человеческом организме своеобразного "" ремонтного материала на все времена "" - клеток - предшественников , или стволовых клеток ."	"авторитетный журнал Science , подводить итог развитие биологический наука в xx век , на третий место после открытие двойной спираль ДНК и расшифровка геном человек ставить открытие в человеческий организм своеобразный "" ремонтный материал на весь время "" - клетка - предшественник , или стволовый клетка ."	39	2	0
17	клетка	Эти клетки способны при определенных условиях превращаться в нервные , костные , мышечные , кровяные .	этот клетка способный при определенный условие превращаться в нервный , костный , мышечный , кровяной .	1	2	1
18	клетка	Открытие это действительно эпохальное : долгое время считалось , что такими уникальными свойствами обладают только клетки эмбрионов .	открытие этот действительно эпохальный : долгий время считать , что такой уникальный свойство обладать только клетка эмбрион .	15	2	1
19	клетка	"Тот факт , что стволовые клетки находятся , хоть и в малом количестве , практически во всех органах взрослого человека , коренным образом изменил представление ученых о способности нашего организма "" починить "" себя в случае "" поломки "" ."	"тот факт , что стволовый клетка находиться , хоть и в малый количество , практически в весь орган взрослый человек , коренной образ изменить представление ученый о способность наш организм "" починить "" себя в случай "" поломка "" ."	5	2	1
20	клетка	В результате научные открытия , связанные с применением полезных свойств клеток - предшественников , посыпались лавиной .	в результат научный открытие , связать с применение полезный свойство клетка - предшественник , посыпаться лавина .	10	2	0
21	клетка	Сегодня в России , как и во всем мире , ведутся эксперименты по созданию клеток , сокращающих омертвевшую после инфаркта сердечную мышцу , заживляющих ожоги на большой площади тела , наращивающих кость .	сегодня в Россия , как и в весь мир , вести эксперимент по создание клетка , сокращать омертвевать после инфаркт сердечный мышца , заживлять ожог на большой площадь тело , наращивать кость .	14	4	0
22	клетка	Оказалось , что в нем содержится в 10 раз больше стволовых клеток , чем в любом другом органе .	оказаться , что в он содержаться в 10 раз много стволовый клетка , чем в любой другой орган .	11	4	0
23	клетка	Но есть еще один ценный источник стволовых клеток , образцы которого можно было бы собирать и хранить .	но быть еще один ценный источник стволовый клетка , образец который можно быть бы собирать и хранить .	7	2	0
24	клетка	"Кровь эта содержит немало стволовых клеток , в основном кроветворных "" предшественников "" ."	"кровь этот содержать немало стволовый клетка , в основной кроветворный "" предшественник "" ."	5	2	0
25	клетка	Конечно , в пуповинной крови их меньше , чем в костном мозге , но зато они моложе , чем клетки взрослого организма , а значит , обладают лучшим потенциалом развития .	конечно , в пуповинный кровь они мало , чем в костный мозг , но зато они молодой , чем клетка взрослый организм , а значит , обладать лучший потенциал развитие .	19	2	1
26	клетка	В 1992 году американский профессор Дэвид Харрис впервые заморозил таким образом клетки пуповинной крови своего сына .	в 1992 год американский профессор Дэвид Харрис впервые заморозить такой образ клетка пуповинный кровь свой сын .	11	4	1
27	клетка	Сегодня Харрис - директор крупнейшего в мире банка стволовых клеток пуповинной крови CBR .	сегодня Харрис - директор крупный в мир банк стволовый клетка пуповинный кровь CBR .	9	2	0
28	клетка	В самом деле , если пуповинная кровь - источник столь ценных клеток , почему бы не предложить родителям хранить ее образцы , полученные при рождении ребенка , чтобы в случае необходимости использовать кровь для его же собственного лечения ?	в самый дело , если пуповинный кровь - источник столь ценный клетка , почему бы не предложить родитель хранить она образец , получить при рождение ребенок , чтобы в случай необходимость использовать кровь для он же собственный лечение ?	11	2	0
29	клетка	Во-вторых , исследования сохранности стволовых клеток при заморозке были проведены только на срок до 15 лет .	во-вторых , исследование сохранность стволовый клетка при заморозка быть провести только на срок до 15 год .	5	4	0
30	клетка	"Скорее всего , такие клетки не потеряют своих функций и при более длительном хранении , но родители , сдающие на хранение пуповинную кровь ребенка , должны знать , на что тратят свои деньги и что получат взамен "" ."	"скорее все , такой клетка не терять свой функция и при более длительный хранение , но родитель , сдавать на хранение пуповинный кровь ребенок , должен знать , на что тратить свой деньги и что получить взамен "" ."	4	2	1
31	клетка	Эти ученые показали , каким образом ионы солей и вода проникают в клетки человеческого организма .	этот ученый показать , какой образ ион соль и вода проникать в клетка человеческий организм .	12	2	1
32	клетка	Агр удостоен премии за открытие механизма проникновения воды в клетки , а Мак-Киннон - за исследования структуры и механизмов проникновения ионов солей .	агр удостоить премия за открытие механизм проникновение вода в клетка , а Мак-Киннон - за исследование структура и механизм проникновение ион соль .	9	2	1
33	клетка	Побочными действиями фентанила являются спазм , ригидность мышц грудной клетки ( затрудненность дыхания ) , конечностей , повышение или понижение АД , острое нарушение зрения ( туман в глазах ) , тошнота , рвота , ларингоспазм , брадикардия , которые устраняются атропином .	побочный действие фентанил являться спазм , ригидность мышца грудной клетка ( затрудненность дыхание ) , конечность , повышение или понижение АД , острый нарушение зрение ( туман в глаз ) , тошнота , рвота , ларингоспазм , брадикардия , который устранять атропин .	9	4	1
34	клетка	Гипоксия , гипоксемия увеличивали нарушения на клеточном уровне , вызвали некротические процессы клеток , в будущем - предвестники полиорганной недостаточности .	гипоксия , гипоксемия увеличивать нарушение на клеточный уровень , вызвать некротический процесс клетка , в будущее - предвестник полиорганный недостаточность .	12	2	0
35	клетка	Для нормального функционирования клетки необходимо 38 молекул АТФ .	для нормальный функционирование клетка необходимый 38 молекула АТФ .	3	2	1
36	клетка	Острейший дефицит кислорода ( минус 36 молекул АТФ ) вызывает энергетическую внутриклеточную катастрофу с нарушением синтеза собственных протеинов , специфических функций клеток , нарушением работы калий - натриевого насоса , разрушением лизосомы и выходом кинетически агрессивных гидролаз , которые в клочья разносят погибающую клетку .	острый дефицит кислород ( минус 36 молекула АТФ ) вызывать энергетический внутриклеточный катастрофа с нарушение синтез собственный протеин , специфический функция клетка , нарушение работа калий - натриевый насос , разрушение лизосома и выход кинетически агрессивный гидролаза , который в клок разносить погибать клетка .	21	2	0
37	клетка	Он любил попугать себя : клетки тела от этого становились здоровей .	он любить попугать себя : клетка тело от это становиться здоровый .	5	4	1
38	клетка	Крэк ликовал : каждая клетка его тела отдыхала и вздрагивала в упоении .	Крэк ликовать : каждый клетка его тело отдыхать и вздрагивать в упоение .	4	2	0
39	клетка	Государственно - монополистическая милитаризованная система сопротивлялась реформам каждой своей клеткой .	государственный - монополистический милитаризовать система сопротивляться реформа каждый свой клетка .	9	4	0
40	клетка	Мы пытаемся понять механизмы дегенерации нервных клеток головного мозга , ставим эксперименты по стимуляции мозга при болезни Паркинсона .	мы пытаться понять механизм дегенерация нервный клетка головной мозг , ставить эксперимент по стимуляция мозг при болезнь Паркинсон .	6	4	0
